Query	Tokens
How did paul die from fast in the fouris	['How', 'did', 'paul', 'die', 'from', 'fast', 'in', 'the', 'fouris']
Fire belly toad	['Fire', 'belly', 'toad']
Now im stressed out	['Now', 'im', 'stressed', 'out']
fast in the fouris	['fast', 'in', 'the', 'fouris']
How many phones sell in a day	['How', 'many', 'phones', 'sell', 'in', 'a', 'day']
How long do toads live	['How', 'long', 'do', 'toads', 'live']
amozan	['amozan']
Fast and the ferious	['Fast', 'and', 'the', 'ferious']
Dominic's early life in fast an ferious	"['Dominic', ""'s"", 'early', 'life', 'in', 'fast', 'an', 'ferious']"
what is a cheeta	['what', 'is', 'a', 'cheeta']
The song at the end of the fast and ferious 7 movie	['The', 'song', 'at', 'the', 'end', 'of', 'the', 'fast', 'and', 'ferious', '7', 'movie']
The Fast and ferious 7 movie	['The', 'Fast', 'and', 'ferious', '7', 'movie']
When is the Fast and ferious 9 coming in theaters	['When', 'is', 'the', 'Fast', 'and', 'ferious', '9', 'coming', 'in', 'theaters']
hew was the 2nd president	['hew', 'was', 'the', '2nd', 'president']
movies for to day at the edwads movie theater	['movies', 'for', 'to', 'day', 'at', 'the', 'edwads', 'movie', 'theater']
Who is the voice of rupnnzel	['Who', 'is', 'the', 'voice', 'of', 'rupnnzel']
tortoises	['tortoises']
Hey I just met you	['Hey', 'I', 'just', 'met', 'you']
Jurassic world	['Jurassic', 'world']
How many langenges was Jurassic world made in	['How', 'many', 'langenges', 'was', 'Jurassic', 'world', 'made', 'in']
TTM	['TTM']
Google classroom	['Google', 'classroom']
23rd president	['23rd', 'president']
cute girls hairstyles	['cute', 'girls', 'hairstyles']
pintrest	['pintrest']
Fantastic hair doos	['Fantastic', 'hair', 'doos']
Character from monster high	['Character', 'from', 'monster', 'high']
example of a leamer	['example', 'of', 'a', 'leamer']
taler swift	['taler', 'swift']
monster high move boo york boo york	['monster', 'high', 'move', 'boo', 'york', 'boo', 'york']
why does the poler bear have white fur	['why', 'does', 'the', 'poler', 'bear', 'have', 'white', 'fur']
Whoh played Ioin hide from transformers	['Whoh', 'played', 'Ioin', 'hide', 'from', 'transformers']
how the chetta has spots	['how', 'the', 'chetta', 'has', 'spots']
florider	['florider']
tranksformers moviey	['tranksformers', 'moviey']
When is the new ghost busters comeing out	['When', 'is', 'the', 'new', 'ghost', 'busters', 'comeing', 'out']
spelling lity	['spelling', 'lity']
cool math	['cool', 'math']
armer games	['armer', 'games']
who plays esan in the movie	['who', 'plays', 'esan', 'in', 'the', 'movie']
is sloth the laziest animal	['is', 'sloth', 'the', 'laziest', 'animal']
selelena gomez songs	['selelena', 'gomez', 'songs']
frozen full movie online	['frozen', 'full', 'movie', 'online']
when is Selena gomez new songs are coming out	['when', 'is', 'Selena', 'gomez', 'new', 'songs', 'are', 'coming', 'out']
google classroom	['google', 'classroom']
How does black and whitee cats look like	['How', 'does', 'black', 'and', 'whitee', 'cats', 'look', 'like']
Who palyed kyioren	['Who', 'palyed', 'kyioren']
Why do spiders have venom	['Why', 'do', 'spiders', 'have', 'venom']
star wars episode 7	['star', 'wars', 'episode', '7']
When is the new finding nemo movie comieng out	['When', 'is', 'the', 'new', 'finding', 'nemo', 'movie', 'comieng', 'out']
Presedians	['Presedians']
movies	['movies']
shows	['shows']
Highschool musical 2	['Highschool', 'musical', '2']
Who was the actor for troy in highschool musical?	['Who', 'was', 'the', 'actor', 'for', 'troy', 'in', 'highschool', 'musical', '?']
how long have lions been extirced	['how', 'long', 'have', 'lions', 'been', 'extirced']
what song has these words in it	['what', 'song', 'has', 'these', 'words', 'in', 'it']
Highschool musical	['Highschool', 'musical']
how many miles is it to the moon?	['how', 'many', 'miles', 'is', 'it', 'to', 'the', 'moon', '?']
weather	['weather']
facrs	['facrs']
The actor of oh from home	['The', 'actor', 'of', 'oh', 'from', 'home']
