Query	QueryFrequency	QueryTokens	user
How did paul die from fast in the fouris	1	['How', 'did', 'paul', 'die', 'from', 'fast', 'in', 'the', 'fouris']	1
Fire belly toad	1	['Fire', 'belly', 'toad']	1
Now im stressed out	1	['Now', 'im', 'stressed', 'out']	1
fast in the fouris	1	['fast', 'in', 'the', 'fouris']	2
How many phones sell in a day	1	['How', 'many', 'phones', 'sell', 'in', 'a', 'day']	2
How long do toads live	1	['How', 'long', 'do', 'toads', 'live']	2
amozan	1	['amozan']	3
Fast and the ferious	1	['Fast', 'and', 'the', 'ferious']	3
Dominic's early life in fast an ferious	1	"['Dominic', ""'s"", 'early', 'life', 'in', 'fast', 'an', 'ferious']"	3
what is a cheeta	1	['what', 'is', 'a', 'cheeta']	4
The song at the end of the fast and ferious 7 movie	1	['The', 'song', 'at', 'the', 'end', 'of', 'the', 'fast', 'and', 'ferious', '7', 'movie']	4
The Fast and ferious 7 movie	1	['The', 'Fast', 'and', 'ferious', '7', 'movie']	4
When is the Fast and ferious 9 coming in theaters	1	['When', 'is', 'the', 'Fast', 'and', 'ferious', '9', 'coming', 'in', 'theaters']	5
hew was the 2nd president	1	['hew', 'was', 'the', '2nd', 'president']	5
movies for to day at the edwads movie theater	1	['movies', 'for', 'to', 'day', 'at', 'the', 'edwads', 'movie', 'theater']	5
Who is the voice of rupnnzel	1	['Who', 'is', 'the', 'voice', 'of', 'rupnnzel']	6
tortoises	1	['tortoises']	6
Hey I just met you	1	['Hey', 'I', 'just', 'met', 'you']	6
Jurassic world	1	['Jurassic', 'world']	7
How many langenges was Jurassic world made in	1	['How', 'many', 'langenges', 'was', 'Jurassic', 'world', 'made', 'in']	7
TTM	1	['TTM']	7
Google classroom	1	['Google', 'classroom']	8
23rd president	1	['23rd', 'president']	8
cute girls hairstyles	1	['cute', 'girls', 'hairstyles']	8
pintrest	1	['pintrest']	9
Fantastic hair doos	1	['Fantastic', 'hair', 'doos']	9
Character from monster high	1	['Character', 'from', 'monster', 'high']	9
example of a leamer	1	['example', 'of', 'a', 'leamer']	10
taler swift	1	['taler', 'swift']	10
monster high move boo york boo york	1	['monster', 'high', 'move', 'boo', 'york', 'boo', 'york']	10
why does the poler bear have white fur	1	['why', 'does', 'the', 'poler', 'bear', 'have', 'white', 'fur']	11
Whoh played Ioin hide from transformers	1	['Whoh', 'played', 'Ioin', 'hide', 'from', 'transformers']	11
how the chetta has spots	1	['how', 'the', 'chetta', 'has', 'spots']	11
florider	1	['florider']	12
tranksformers moviey	1	['tranksformers', 'moviey']	12
When is the new ghost busters comeing out	1	['When', 'is', 'the', 'new', 'ghost', 'busters', 'comeing', 'out']	12
spelling lity	1	['spelling', 'lity']	13
cool math	1	['cool', 'math']	13
armer games	1	['armer', 'games']	13
who plays esan in the movie	1	['who', 'plays', 'esan', 'in', 'the', 'movie']	14
is sloth the laziest animal	1	['is', 'sloth', 'the', 'laziest', 'animal']	14
selelena gomez songs	1	['selelena', 'gomez', 'songs']	14
frozen full movie online	1	['frozen', 'full', 'movie', 'online']	15
when is Selena gomez new songs are coming out	1	['when', 'is', 'Selena', 'gomez', 'new', 'songs', 'are', 'coming', 'out']	15
google classroom	1	['google', 'classroom']	15
How does black and whitee cats look like	1	['How', 'does', 'black', 'and', 'whitee', 'cats', 'look', 'like']	16
Who palyed kyioren	1	['Who', 'palyed', 'kyioren']	16
Why do spiders have venom	1	['Why', 'do', 'spiders', 'have', 'venom']	16
star wars episode 7	1	['star', 'wars', 'episode', '7']	17
When is the new finding nemo movie comieng out	1	['When', 'is', 'the', 'new', 'finding', 'nemo', 'movie', 'comieng', 'out']	17
Presedians	1	['Presedians']	17
movies	1	['movies']	18
shows	1	['shows']	18
Highschool musical 2	1	['Highschool', 'musical', '2']	18
Who was the actor for troy in highschool musical?	1	['Who', 'was', 'the', 'actor', 'for', 'troy', 'in', 'highschool', 'musical', '?']	19
how long have lions been extirced	1	['how', 'long', 'have', 'lions', 'been', 'extirced']	19
what song has these words in it	1	['what', 'song', 'has', 'these', 'words', 'in', 'it']	19
Highschool musical	1	['Highschool', 'musical']	20
how many miles is it to the moon?	1	['how', 'many', 'miles', 'is', 'it', 'to', 'the', 'moon', '?']	20
weather	2	['weather']	20
facrs	1	['facrs']	21
The actor of oh from home	1	['The', 'actor', 'of', 'oh', 'from', 'home']	21
Facts about pigs	1	['Facts', 'about', 'pigs']	21
whatsthatsong.net	1	['whatsthatsong.net']	22
Jurrasic wortl	1	['Jurrasic', 'wortl']	22
When is Pokemon sun and moon coming out	1	['When', 'is', 'Pokemon', 'sun', 'and', 'moon', 'coming', 'out']	22
Google docs	1	['Google', 'docs']	23
images for project	1	['images', 'for', 'project']	23
games	3	['games']	23
images for fun	1	['images', 'for', 'fun']	24
Who plays baymax?	1	['Who', 'plays', 'baymax', '?']	24
What is a bear?	1	['What', 'is', 'a', 'bear', '?']	24
Who is the name of a Macdre song?	1	['Who', 'is', 'the', 'name', 'of', 'a', 'Macdre', 'song', '?']	25
Draft Day movie	1	['Draft', 'Day', 'movie']	25
oldest person ever	1	['oldest', 'person', 'ever']	25
websites for facts	1	['websites', 'for', 'facts']	26
images	1	['images']	26
Alrin and the chickmuelcs  	1	['Alrin', 'and', 'the', 'chickmuelcs']	26
Why do flamingo get there feey on to other	1	['Why', 'do', 'flamingo', 'get', 'there', 'feey', 'on', 'to', 'other']	27
Songs buy Charlie Puth	1	['Songs', 'buy', 'Charlie', 'Puth']	27
titanic full movie	1	['titanic', 'full', 'movie']	27
how many four movies are there	1	['how', 'many', 'four', 'movies', 'are', 'there']	28
i skarch of word work	1	['i', 'skarch', 'of', 'word', 'work']	28
Who plays Harry Potter	1	['Who', 'plays', 'Harry', 'Potter']	28
fact on tigers	1	['fact', 'on', 'tigers']	29
Songs by talor swift	1	['Songs', 'by', 'talor', 'swift']	29
Harry potter sward in the stone	1	['Harry', 'potter', 'sward', 'in', 'the', 'stone']	29
Who is the 30th president of the usa	1	['Who', 'is', 'the', '30th', 'president', 'of', 'the', 'usa']	30
weather	2	['weather']	30
games	3	['games']	30
who was the huray in the moive the Larax?	1	['who', 'was', 'the', 'huray', 'in', 'the', 'moive', 'the', 'Larax', '?']	31
Facts about dogs	1	['Facts', 'about', 'dogs']	31
why is the sun hot	1	['why', 'is', 'the', 'sun', 'hot']	31
Fast and the furiouse cast	1	['Fast', 'and', 'the', 'furiouse', 'cast']	32
monkeys	1	['monkeys']	32
Deathly Hallows part 2	1	['Deathly', 'Hallows', 'part', '2']	32
new finding nemo movie	1	['new', 'finding', 'nemo', 'movie']	33
give me information about a giraf	1	['give', 'me', 'information', 'about', 'a', 'giraf']	33
finding nemo movie	1	['finding', 'nemo', 'movie']	33
how do scintest know all of this knoledg	1	['how', 'do', 'scintest', 'know', 'all', 'of', 'this', 'knoledg']	34
youtube videos	1	['youtube', 'videos']	34
math problems	1	['math', 'problems']	34
from superman	1	['from', 'superman']	35
facts about tigers	1	['facts', 'about', 'tigers']	35
new maclelamore song	1	['new', 'maclelamore', 'song']	35
Superman movie	1	['Superman', 'movie']	36
how do seahorces swim	1	['how', 'do', 'seahorces', 'swim']	36
basketball cards	1	['basketball', 'cards']	36
lighting rods	1	['lighting', 'rods']	37
Actor of Hulk in Avengers	1	['Actor', 'of', 'Hulk', 'in', 'Avengers']	37
Info on foxes	1	['Info', 'on', 'foxes']	37
G-Fazzy newst song	1	['G-Fazzy', 'newst', 'song']	38
Avengers movie	1	['Avengers', 'movie']	38
Date of Jonh F Kennady's death	1	"['Date', 'of', 'Jonh', 'F', 'Kennady', ""'s"", 'death']"	38
TTM 	1	['TTM']	39
youtube	4	['youtube']	39
How is b-b-8 so real?	1	['How', 'is', 'b-b-8', 'so', 'real', '?']	39
Wgat is so important about tigers	1	['Wgat', 'is', 'so', 'important', 'about', 'tigers']	40
What is the weeknds most famous song	1	['What', 'is', 'the', 'weeknds', 'most', 'famous', 'song']	40
The new starwars	1	['The', 'new', 'starwars']	40
When is the new ghost busters coming out	1	['When', 'is', 'the', 'new', 'ghost', 'busters', 'coming', 'out']	41
Parts of speech	1	['Parts', 'of', 'speech']	41
funny dog pictures	1	['funny', 'dog', 'pictures']	41
Who played sander in The Walking Dead	1	['Who', 'played', 'sander', 'in', 'The', 'Walking', 'Dead']	42
How long can a Draffs neck	1	['How', 'long', 'can', 'a', 'Draffs', 'neck']	42
I'm going home	1	"['I', ""'m"", 'going', 'home']"	42
The walking dead	1	['The', 'walking', 'dead']	43
when is the next season of stanly supperre humans	1	['when', 'is', 'the', 'next', 'season', 'of', 'stanly', 'supperre', 'humans']	43
youtube	4	['youtube']	43
String explosin	1	['String', 'explosin']	44
How did Anabell flote	1	['How', 'did', 'Anabell', 'flote']	44
Why are poler Bear white	1	['Why', 'are', 'poler', 'Bear', 'white']	44
When I'm your go to miss me	1	"['When', 'I', ""'m"", 'your', 'go', 'to', 'miss', 'me']"	45
Anabell	1	['Anabell']	45
When is season 5 Vingis comeing out	1	['When', 'is', 'season', '5', 'Vingis', 'comeing', 'out']	45
YouTub	1	['YouTub']	46
I like Insidous 1 2 and 3	1	['I', 'like', 'Insidous', '1', '2', 'and', '3']	46
What was Lucy (from chronicels of Narnia) age	1	['What', 'was', 'Lucy', '(', 'from', 'chronicels', 'of', 'Narnia', ')', 'age']	46
Why do dogs wag their tail	1	['Why', 'do', 'dogs', 'wag', 'their', 'tail']	47
Whats the song I cut my hangs with some rusty kitchen sissors	1	['Whats', 'the', 'song', 'I', 'cut', 'my', 'hangs', 'with', 'some', 'rusty', 'kitchen', 'sissors']	47
What the name of the movie based on a C.S Lewis book?	1	['What', 'the', 'name', 'of', 'the', 'movie', 'based', 'on', 'a', 'C.S', 'Lewis', 'book', '?']	47
Is there a place in Africa named Kimberly	1	['Is', 'there', 'a', 'place', 'in', 'Africa', 'named', 'Kimberly']	48
envirormental propums in missouri	1	['envirormental', 'propums', 'in', 'missouri']	48
When does the new m donlads goin to be buiolt	1	['When', 'does', 'the', 'new', 'm', 'donlads', 'goin', 'to', 'be', 'buiolt']	48
Star Wars who plays Kylo ren	1	['Star', 'Wars', 'who', 'plays', 'Kylo', 'ren']	49
Drake	1	['Drake']	49
When is star wars going to come out	1	['When', 'is', 'star', 'wars', 'going', 'to', 'come', 'out']	49
How old can chewbacca get	1	['How', 'old', 'can', 'chewbacca', 'get']	50
