"Query",,,,,,,
"How did paul die from fast in the fouris	1",,,,,,,
"Fire belly toad	1",,,,,,,
"Now im stressed out	1",,,,,,,
"fast in the fouris	1",,,,,,,
"How many phones sell in a day	1",,,,,,,
"How long do toads live	1",,,,,,,
"amozan	1",,,,,,,
"Fast and the ferious	1",,,,,,,
"Dominic's early life in fast an ferious	1",,,,,,,
"what is a cheeta	1",,,,,,,
"The song at the end of the fast and ferious 7 movie	1",,,,,,,
"The Fast and ferious 7 movie	1",,,,,,,
"When is the Fast and ferious 9 coming in theaters	1",,,,,,,
"hew was the 2nd president	1",,,,,,,
"movies for to day at the edwads movie theater	1",,,,,,,
"Who is the voice of rupnnzel	1",,,,,,,
"tortoises	1",,,,,,,
"Hey I just met you	1",,,,,,,
"Jurassic world	1",,,,,,,
"How many langenges was Jurassic world made in	1",,,,,,,
"TTM	1",,,,,,,
"Google classroom	1",,,,,,,
"23rd president	1",,,,,,,
"cute girls hairstyles	1",,,,,,,
"pintrest	1",,,,,,,
"Fantastic hair doos	1",,,,,,,
"Character from monster high	1",,,,,,,
"example of a leamer	1",,,,,,,
"taler swift	1",,,,,,,
"monster high move boo york boo york	1",,,,,,,
"why does the poler bear have white fur	1",,,,,,,
"Whoh played Ioin hide from transformers	1",,,,,,,
"how the chetta has spots	1",,,,,,,
"florider	1",,,,,,,
"tranksformers moviey	1",,,,,,,
"When is the new ghost busters comeing out	1",,,,,,,
"spelling lity	1",,,,,,,
"cool math	1",,,,,,,
"armer games	1",,,,,,,
"who plays esan in the movie	1",,,,,,,
"is sloth the laziest animal	1",,,,,,,
"selelena gomez songs	1",,,,,,,
"frozen full movie online	1",,,,,,,
"when is Selena gomez new songs are coming out	1",,,,,,,
"google classroom	1",,,,,,,
"How does black and whitee cats look like	1",,,,,,,
"Who palyed kyioren	1",,,,,,,
"Why do spiders have venom	1",,,,,,,
"star wars episode 7	1",,,,,,,
"When is the new finding nemo movie comieng out	1",,,,,,,
"Presedians	1",,,,,,,
"movies	1",,,,,,,
"shows	1",,,,,,,
"Highschool musical 2	1",,,,,,,
"Who was the actor for troy in highschool musical?	1",,,,,,,
"how long have lions been extirced	1",,,,,,,
"what song has these words in it	1",,,,,,,
"Highschool musical	1",,,,,,,
"how many miles is it to the moon?	1",,,,,,,
"weather	1",,,,,,,
"facrs	1",,,,,,,
"The actor of oh from home	1",,,,,,,
"Facts about pigs	1",,,,,,,
"whatsthatsong.net	1",,,,,,,
"Jurrasic wortl	1",,,,,,,
"When is Pokemon sun and moon coming out	1",,,,,,,
"Google docs	1",,,,,,,
"images for project	1",,,,,,,
"games	1",,,,,,,
"images for fun	1",,,,,,,
"Who plays baymax?	1",,,,,,,
"What is a bear?	1",,,,,,,
"Who is the name of a Macdre song?	1",,,,,,,
"Draft Day movie	1",,,,,,,
"oldest person ever	1",,,,,,,
"websites for facts	1",,,,,,,
"images	1",,,,,,,
"Alrin and the chickmuelcs  	1",,,,,,,
"Why do flamingo get there feey on to other	1",,,,,,,
"Songs buy Charlie Puth	1",,,,,,,
"titanic full movie	1",,,,,,,
"how many four movies are there	1",,,,,,,
"i skarch of word work	1",,,,,,,
"Who plays Harry Potter	1",,,,,,,
"fact on tigers	1",,,,,,,
"Songs by talor swift	1",,,,,,,
"Harry potter sward in the stone	1",,,,,,,
"Who is the 30th president of the usa	1",,,,,,,
"weather	1",,,,,,,
"games	1",,,,,,,
"who was the huray in the moive the Larax?	1",,,,,,,
"Facts about dogs	1",,,,,,,
"why is the sun hot	1",,,,,,,
"Fast and the furiouse cast	1",,,,,,,
"monkeys	1",,,,,,,
"Deathly Hallows part 2	1",,,,,,,
"new finding nemo movie	1",,,,,,,
"give me information about a giraf	1",,,,,,,
"finding nemo movie	1",,,,,,,
"how do scintest know all of this knoledg	1",,,,,,,
"youtube videos	1",,,,,,,
"math problems	1",,,,,,,
"from superman	1",,,,,,,
"facts about tigers	1",,,,,,,
"new maclelamore song	1",,,,,,,
"Superman movie	1",,,,,,,
"how do seahorces swim	1",,,,,,,
"basketball cards	1",,,,,,,
"lighting rods	1",,,,,,,
"Actor of Hulk in Avengers	1",,,,,,,
"Info on foxes	1",,,,,,,
"G-Fazzy newst song	1",,,,,,,
"Avengers movie	1",,,,,,,
"Date of Jonh F Kennady's death	1",,,,,,,
"TTM 	1",,,,,,,
"youtube	1",,,,,,,
"How is b-b-8 so real?	1",,,,,,,
"Wgat is so important about tigers	1",,,,,,,
"What is the weeknds most famous song	1",,,,,,,
"The new starwars	1",,,,,,,
"When is the new ghost busters coming out	1",,,,,,,
"Parts of speech	1",,,,,,,
"funny dog pictures	1",,,,,,,
"Who played sander in The Walking Dead	1",,,,,,,
"How long can a Draffs neck	1",,,,,,,
"I'm going home	1",,,,,,,
"The walking dead	1",,,,,,,
"when is the next season of stanly supperre humans	1",,,,,,,
"youtube	1",,,,,,,
"String explosin	1",,,,,,,
"How did Anabell flote	1",,,,,,,
"Why are poler Bear white	1",,,,,,,
"When I'm your go to miss me	1",,,,,,,
"Anabell	1",,,,,,,
"When is season 5 Vingis comeing out	1",,,,,,,
"YouTub	1",,,,,,,
"I like Insidous 1 2 and 3	1",,,,,,,
"What was Lucy (from chronicels of Narnia) age	1",,,,,,,
"Why do dogs wag their tail	1",,,,,,,
"Whats the song I cut my hangs with some rusty kitchen sissors	1",,,,,,,
"What the name of the movie based on a C.S Lewis book?	1",,,,,,,
"Is there a place in Africa named Kimberly	1",,,,,,,
"envirormental propums in missouri	1",,,,,,,
"When does the new m donlads goin to be buiolt	1",,,,,,,
"Star Wars who plays Kylo ren	1",,,,,,,
"Drake	1",,,,,,,
"When is star wars going to come out	1",,,,,,,
"How old can chewbacca get	1",,,,,,,
"How does a wolf catch its prey	1",,,,,,,
"what is love	1",,,,,,,
"Star Wars	1",,,,,,,
"When will be a full moon this year	1",,,,,,,
"Caculator	1",,,,,,,
"Assassin's Creed	1",,,,,,,
"Who plays the good terminater in Terminater two	1",,,,,,,
"Information about tigers	1",,,,,,,
"When is the new Finding Dory coming out	1",,,,,,,
"how old is Han Solo in the new star wars movie	1",,,,,,,
"how many Star wars movies have Han solo in them?	1",,,,,,,
"How many cheetahs are in the world?	1",,,,,,,
"What son has ""clapalong if you feel"" in it?	1",,,,,,,
"Order kungfu panda	1",,,,,,,
"How many Star Wars movies will be made?	1",,,,,,,
